# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-02 00:25:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:26:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:27:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:28:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:29:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:30:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:31:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:32:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:33:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:34:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:35:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:36:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:37:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:38:15,130683128,454400,0.35,15940,3.51
plotter1,60,2022-01-02 00:39:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:40:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:41:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:42:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:43:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:44:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:45:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:46:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:47:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:48:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:49:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:50:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:51:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:52:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:53:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:54:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:55:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:56:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:57:15,130683128,454400,0.35,15936,3.51
