# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
plotter1;60;2021-12-31 09:26:42;sdap;2.33;123.93;0.00;0.00;53.11;0.02;9.20;1.31
plotter1;60;2021-12-31 09:26:42;sdaq;0.80;38.87;0.00;0.00;48.58;0.01;8.08;0.34
plotter1;60;2021-12-31 09:26:42;sdar;2.45;144.47;0.00;0.00;58.97;0.02;9.84;1.27
plotter1;60;2021-12-31 09:26:42;sdw;1.02;51.80;0.00;0.00;50.95;0.01;11.89;0.61
plotter1;60;2021-12-31 09:26:42;sdak;4.88;251.73;0.00;0.00;51.55;0.06;11.64;2.74
plotter1;60;2021-12-31 09:27:42;nvme1n1;877.05;12070.40;44070.53;1.53;64.01;1.78;2.02;13.70
plotter1;60;2021-12-31 09:27:42;nvme0n1;878.17;12019.07;44284.47;1.93;64.12;2.72;3.09;13.60
plotter1;60;2021-12-31 09:27:42;nvme2n1;871.27;12016.33;43871.33;0.93;64.15;2.28;2.61;13.28
plotter1;60;2021-12-31 09:27:42;sda;8.10;402.80;0.00;0.00;49.73;0.04;4.59;1.88
plotter1;60;2021-12-31 09:27:42;sdb;5.17;255.67;0.00;0.00;49.48;0.02;4.45;1.04
plotter1;60;2021-12-31 09:27:42;sdc;6.78;320.93;0.00;0.00;47.31;0.04;5.34;1.42
plotter1;60;2021-12-31 09:27:42;sdd;8.87;421.73;0.00;0.00;47.56;0.04;4.80;1.73
plotter1;60;2021-12-31 09:27:42;sde;4.97;2.20;43.27;0.00;9.15;0.01;1.50;0.10
plotter1;60;2021-12-31 09:27:42;sde1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 09:27:42;sde2;4.97;2.20;43.27;0.00;9.15;0.01;1.49;0.10
plotter1;60;2021-12-31 09:27:42;sdf;7.28;379.27;0.00;0.00;52.07;0.03;4.51;1.71
plotter1;60;2021-12-31 09:27:42;sdg;8.23;437.53;0.00;0.00;53.14;0.04;4.49;1.66
plotter1;60;2021-12-31 09:27:42;sdh;2.52;149.13;0.40;0.00;59.42;0.01;5.42;0.87
plotter1;60;2021-12-31 09:27:42;sdi;6.17;363.53;0.00;0.00;58.95;0.05;8.56;2.42
plotter1;60;2021-12-31 09:27:42;dm-0;2663.37;36105.80;132235.13;4.40;63.21;6.78;2.54;16.91
plotter1;60;2021-12-31 09:27:42;sdj;2.02;108.47;0.00;0.00;53.79;0.01;4.94;0.57
plotter1;60;2021-12-31 09:27:42;sdk;7.80;384.33;0.00;0.00;49.27;0.08;9.97;3.15
plotter1;60;2021-12-31 09:27:42;sdl;5.47;305.93;0.00;0.00;55.96;0.03;5.93;1.70
plotter1;60;2021-12-31 09:27:42;sdm;1.87;83.33;0.00;0.00;44.64;0.01;7.06;0.83
plotter1;60;2021-12-31 09:27:42;sdo;6.95;354.53;0.00;0.00;51.01;0.21;30.79;4.57
plotter1;60;2021-12-31 09:27:42;sdp;5.70;304.60;0.00;0.00;53.44;0.03;6.04;1.79
plotter1;60;2021-12-31 09:27:42;sdq;2.73;128.13;0.00;0.00;46.88;0.02;7.98;1.24
plotter1;60;2021-12-31 09:27:42;sdr;1.12;56.80;0.00;0.00;50.87;0.02;15.63;0.66
plotter1;60;2021-12-31 09:27:42;sds;2.52;99.06;0.00;0.00;39.36;0.02;9.01;1.34
plotter1;60;2021-12-31 09:27:42;sdt;4.37;204.00;0.00;0.00;46.72;0.04;8.64;1.92
plotter1;60;2021-12-31 09:27:42;sdu;2.23;109.40;0.00;0.00;48.99;0.01;5.37;0.70
plotter1;60;2021-12-31 09:27:42;sdv;0.02;0.07;0.00;0.00;4.00;0.00;1.00;0.00
plotter1;60;2021-12-31 09:27:42;sdx;2.22;125.47;0.00;0.00;56.60;0.02;8.26;0.96
plotter1;60;2021-12-31 09:27:42;sdy;1.03;52.07;0.00;0.00;50.39;0.01;8.24;0.53
plotter1;60;2021-12-31 09:27:42;sdz;1.75;84.47;0.00;0.00;48.27;0.02;11.06;0.93
