2022-01-08T00:08:39.403 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-08T00:08:39.407 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-08T00:08:45.986 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-08T00:08:45.992 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-08T00:13:10.894 full_node full_node_server        : INFO     Connected with full_node {'host': '81.107.206.37', 'port': 8444}
2022-01-08T00:13:13.832 full_node full_node_server        : INFO     Connected with full_node {'host': '132.147.87.36', 'port': 8444}
2022-01-08T00:13:13.837 full_node full_node_server        : INFO     Connection closed: 132.147.87.36, node id: cefe30eaa06d4a3889457fd10d725cee06d88d52f772e1918757bdda5e471198
2022-01-08T00:13:13.839 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '132.147.87.36', 'port': 8444}
2022-01-08T00:13:19.691 full_node full_node_server        : INFO     Connected with full_node {'host': '82.7.48.244', 'port': 8444}
2022-01-08T00:13:19.822 full_node full_node_server        : INFO     Connection closed: 82.7.48.244, node id: 49bf753ac165db8badf0018d19e6431c2df4e58eb10a2891184448d83fb10270
2022-01-08T00:13:19.823 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '82.7.48.244', 'port': 8444}
2022-01-08T00:13:22.211 full_node full_node_server        : INFO     Cannot connect to host 86.62.173.38:8444 ssl:<ssl.SSLContext object at 0xffffb74ac0c0> [Connect call failed ('86.62.173.38', 8444)]
2022-01-08T00:13:25.486 full_node full_node_server        : INFO     Connected with full_node {'host': '161.97.94.190', 'port': 8444}
2022-01-08T00:13:25.493 full_node full_node_server        : INFO     Connection closed: 161.97.94.190, node id: 957e69b18411a2f49d8d75a3f1e056b0bbe1627de7755c7537e2aef24c79c4d9
2022-01-08T00:13:25.494 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '161.97.94.190', 'port': 8444}
2022-01-08T00:13:32.233 full_node full_node_server        : INFO     Connected with full_node {'host': '114.230.222.6', 'port': 8444}
2022-01-08T00:13:32.240 full_node full_node_server        : INFO     Connection closed: 114.230.222.6, node id: 602b39601836db7561c643eb436676eef2f4387d79e807c3f5aa5d5718a1e1a1
2022-01-08T00:13:32.242 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '114.230.222.6', 'port': 8444}
2022-01-08T00:13:34.801 full_node full_node_server        : INFO     Connected with full_node {'host': '100.7.123.15', 'port': 8444}
2022-01-08T00:13:34.806 full_node full_node_server        : INFO     Connection closed: 100.7.123.15, node id: 6687e546a754890492b8f540c99803a2fb935e7666345418e4daa9a046bd88d9
2022-01-08T00:13:34.808 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '100.7.123.15', 'port': 8444}
2022-01-08T00:13:37.175 full_node full_node_server        : INFO     Cannot connect to host 2003:dc:1f04:4800:a5b4:25ec:786d:985d:8444 ssl:<ssl.SSLContext object at 0xffffb42adb40> [Network is unreachable]
2022-01-08T00:13:40.934 full_node full_node_server        : INFO     Connected with full_node {'host': '66.147.239.152', 'port': 8444}
2022-01-08T00:13:40.941 full_node full_node_server        : INFO     Connection closed: 66.147.239.152, node id: 330f5d50a46371e7a33da72873c88cf8bc8bdaa1c505d16379554bec1ce44d7d
2022-01-08T00:13:40.942 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '66.147.239.152', 'port': 8444}
2022-01-08T00:13:50.215 full_node full_node_server        : INFO     Connected with full_node {'host': '68.185.173.12', 'port': 8444}
2022-01-08T00:13:50.221 full_node full_node_server        : INFO     Connection closed: 68.185.173.12, node id: 588098cd47e65d7b0944c7471753b7423b054b27cb3d8aa9d33468563fd43d31
2022-01-08T00:13:50.222 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '68.185.173.12', 'port': 8444}
2022-01-08T00:13:51.927 full_node chia.full_node.full_node: INFO     Re-checked peers: total of 2 peers with peak 1390632
2022-01-08T00:13:54.232 full_node chia.full_node.full_node: INFO     Start syncing from fork point at 222722 up to 1390632
2022-01-08T00:13:55.284 full_node full_node_server        : INFO     Connected with full_node {'host': '112.68.58.195', 'port': 8444}
2022-01-08T00:13:55.292 full_node full_node_server        : INFO     Connection closed: 112.68.58.195, node id: c368540268b59ec212a847756e1b25f51ece97c706a7082fb7381921f38f08f5
2022-01-08T00:13:55.294 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '112.68.58.195', 'port': 8444}
2022-01-08T00:14:00.243 full_node full_node_server        : INFO     Connected with full_node {'host': '202.124.104.131', 'port': 8444}
2022-01-08T00:14:00.257 full_node full_node_server        : INFO     Connection closed: 202.124.104.131, node id: a1db34cf51732135b8e7c7de2a36046cfcbf1c2555adcb1fbff28ec1c3cab60f
2022-01-08T00:14:00.259 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '202.124.104.131', 'port': 8444}
2022-01-08T00:14:02.278 full_node chia.full_node.full_node: INFO     AUTOTEST3_PR9746 Added blocks 223648 to 223680
2022-01-08T00:14:05.857 full_node full_node_server        : INFO     Connected with full_node {'host': '98.149.75.141', 'port': 8444}
2022-01-08T00:14:05.867 full_node full_node_server        : INFO     Connection closed: 98.149.75.141, node id: 9abe545281032523f87729ef088a0677ae2eff67bbb0ba7eced4ac74e093375c
2022-01-08T00:14:05.878 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '98.149.75.141', 'port': 8444}
2022-01-08T00:14:08.109 full_node full_node_server        : INFO     Connected with full_node {'host': '94.181.133.248', 'port': 8444}
2022-01-08T00:14:08.118 full_node full_node_server        : INFO     Connection closed: 94.181.133.248, node id: 5a59440745bd869d3f23435852ae56ffeb28d0673a9475a5194eb00908271de4
2022-01-08T00:14:08.119 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '94.181.133.248', 'port': 8444}
