2022-01-10T20:58:45.707 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-10T20:58:45.715 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-10T20:58:52.223 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-10T20:58:52.230 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-10T21:00:29.009 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '184.161.152.242', 'port': 8444}
2022-01-10T21:00:33.855 full_node full_node_server        : INFO     Connected with full_node {'host': '47.35.4.73', 'port': 8444}
2022-01-10T21:00:33.860 full_node full_node_server        : INFO     Connection closed: 47.35.4.73, node id: 2e6f960f5f8310a462396e800113b53b9744bb1f7028a9ef86f8dfe9cbb3b1ec
2022-01-10T21:00:33.861 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '47.35.4.73', 'port': 8444}
2022-01-10T21:00:35.997 full_node full_node_server        : INFO     Connected with full_node {'host': '50.125.81.115', 'port': 8444}
2022-01-10T21:00:36.142 full_node full_node_server        : INFO     Connection closed: 50.125.81.115, node id: ddcdd93d55388edef02c54cf98ed90b7aa7d2864bf0036a34d5531812662b327
2022-01-10T21:00:36.144 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '50.125.81.115', 'port': 8444}
2022-01-10T21:00:45.604 full_node full_node_server        : INFO     Connected with full_node {'host': '186.22.220.94', 'port': 8444}
2022-01-10T21:00:45.610 full_node full_node_server        : INFO     Connection closed: 186.22.220.94, node id: 5982db4635d76c9b865c4329214ce0a47a4a3ce3bd0e67cfb3a4a96be1b5746c
2022-01-10T21:00:45.612 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '186.22.220.94', 'port': 8444}
2022-01-10T21:00:46.911 full_node full_node_server        : INFO     Connected with full_node {'host': '85.146.148.45', 'port': 8444}
2022-01-10T21:00:47.036 full_node full_node_server        : INFO     Connection closed: 85.146.148.45, node id: 6f96f8ee43c9db810634d781339797afcc68428156eb724d344601c5c4d521a5
2022-01-10T21:00:47.037 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '85.146.148.45', 'port': 8444}
2022-01-10T21:00:51.739 full_node full_node_server        : INFO     Connected with full_node {'host': '93.38.60.240', 'port': 8444}
2022-01-10T21:00:51.744 full_node full_node_server        : INFO     Connection closed: 93.38.60.240, node id: 1e0041d4d878bba903376e3153e74ee8b7ff4b47000c8ae57005d660cd8df2dd
2022-01-10T21:00:51.746 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '93.38.60.240', 'port': 8444}
2022-01-10T21:00:54.834 full_node full_node_server        : INFO     Connected with full_node {'host': '121.200.25.135', 'port': 8444}
2022-01-10T21:00:54.842 full_node full_node_server        : INFO     Connection closed: 121.200.25.135, node id: fe22ea4016861cb510b9a7c4a633d22e91974c4e262aa3acf6f8f7756f4e00b2
2022-01-10T21:00:54.843 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '121.200.25.135', 'port': 8444}
2022-01-10T21:00:57.379 full_node full_node_server        : INFO     Connected with full_node {'host': '47.148.67.36', 'port': 8444}
2022-01-10T21:00:57.384 full_node full_node_server        : INFO     Connection closed: 47.148.67.36, node id: 4103120735c792cd3b5225646fa5973ed71aaf5de83faf562227dc65818dc963
2022-01-10T21:00:57.386 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '47.148.67.36', 'port': 8444}
2022-01-10T21:01:00.679 full_node full_node_server        : INFO     Cannot connect to host 178.184.53.62:8444 ssl:<ssl.SSLContext object at 0xffff814bb7c0> [Connect call failed ('178.184.53.62', 8444)]
2022-01-10T21:01:10.916 full_node full_node_server        : INFO     Connected with full_node {'host': '222.239.36.130', 'port': 8444}
2022-01-10T21:01:10.922 full_node full_node_server        : INFO     Connection closed: 222.239.36.130, node id: a44f8a8b24901d3851d7ad5023c55cdb3d05bd014bb3f1da9fd1dbc7a8b0487d
2022-01-10T21:01:10.923 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '222.239.36.130', 'port': 8444}
