2022-01-10T08:29:10.953 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-10T08:29:10.958 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-10T08:29:17.448 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-10T08:29:17.464 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-10T08:32:25.964 full_node full_node_server        : INFO     Connected with full_node {'host': '114.230.222.108', 'port': 8444}
2022-01-10T08:32:25.969 full_node full_node_server        : INFO     Connection closed: 114.230.222.108, node id: bbf3fa60b9d376d30fe2fc880c6aa92989587f6bac0a1821422822ffd8e96891
2022-01-10T08:32:25.971 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '114.230.222.108', 'port': 8444}
2022-01-10T08:32:26.706 full_node full_node_server        : INFO     Connected with full_node {'host': '94.154.202.224', 'port': 8444}
2022-01-10T08:32:26.712 full_node full_node_server        : INFO     Connection closed: 94.154.202.224, node id: b184514748ead1a62fe1373afa5bf79166503f9b6613b5510f55e5ac405dc3c7
2022-01-10T08:32:26.714 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '94.154.202.224', 'port': 8444}
2022-01-10T08:32:27.104 full_node full_node_server        : INFO     Connected with full_node {'host': '70.95.209.203', 'port': 8444}
2022-01-10T08:32:27.109 full_node full_node_server        : INFO     Connection closed: 70.95.209.203, node id: 8489364677fdd835951ab17d4bc77a274542e71e4c38a6edbe1cccdafdfeadaa
2022-01-10T08:32:27.111 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '70.95.209.203', 'port': 8444}
2022-01-10T08:32:27.443 full_node full_node_server        : INFO     Connected with full_node {'host': '69.131.99.223', 'port': 8444}
2022-01-10T08:32:27.449 full_node full_node_server        : INFO     Connection closed: 69.131.99.223, node id: cd914402d45a2aeb9491595a53895a4649b317b067557d437c376055fd6c5347
2022-01-10T08:32:27.451 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '69.131.99.223', 'port': 8444}
2022-01-10T08:32:28.474 full_node full_node_server        : INFO     Connected with full_node {'host': '82.65.71.235', 'port': 8444}
2022-01-10T08:32:28.480 full_node full_node_server        : INFO     Connection closed: 82.65.71.235, node id: eabfaa2c48a7b8585f86282fc6007b7cef919d44b92fe257e18f9e57fff8cd4d
2022-01-10T08:32:28.482 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '82.65.71.235', 'port': 8444}
2022-01-10T08:32:28.613 full_node full_node_server        : INFO     Connected with full_node {'host': '27.33.47.131', 'port': 8444}
